Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of home deliveries attended by Non SBA trained (trained TB/Dai),Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
22869.0,197.0,2784.0,655.0,1296.0,700.0,1844.0,1461.0,38.0,7507.0,7545.0,24608.0,903.0,110305.0,1696582.0,44.0,501.0,877.0,695.0,2160118,1396533,721253,126186,1312678,41982.0
24196.0,2588.0,978.0,1422.0,3427.0,967.0,2007.0,432.0,51.0,8280.0,8331.0,29043.0,0.0,106808.0,2209648.0,688.0,156.0,321.0,743.0,2743082,1842817,942708,181000,1619372,47989.0
17496.0,698.0,2721.0,879.0,1190.0,1113.0,725.0,753.0,44.0,8338.0,8382.0,9421.0,805.0,87471.0,963086.0,33.0,47.0,11.0,392.0,2092370,1252319,686937,89291,1316143,40897.0
16569.0,1049.0,0.0,964.0,1000.0,776.0,579.0,217.0,771.0,20223.0,20994.0,37499.0,0.0,52147.0,701772.0,2.0,836.0,800.0,655.0,2299885,1660243,722134,211848,1365902,52708.0
27424.0,1352.0,8.0,450.0,1877.0,840.0,1199.0,100.0,49.0,14649.0,14698.0,34700.0,3688.0,187797.0,5177726.0,13.0,4258.0,14483.0,368.0,2035064,1502645,698768,113296,1222999,39853.0
9931.0,515.0,0.0,51.0,38.0,193.0,392.0,70.0,0.0,2848.0,2848.0,2922.0,0.0,19438.0,704069.0,1.0,491.0,1500.0,199.0,590297,370335,193916,100879,295502,8648.0
13391.0,699.0,301.0,202.0,1977.0,119.0,311.0,46.0,117.0,6593.0,6710.0,7105.0,649.0,27451.0,200395.0,0.0,6113.0,4957.0,247.0,1329672,1001908,510003,81829,737838,18890.0
18029.0,519.0,3267.0,430.0,435.0,1147.0,950.0,272.0,15.0,10412.0,10427.0,18850.0,0.0,87914.0,659303.0,590.0,16162.0,3659.0,1401.0,2390775,1440804,685140,412365,1293268,50575.0
27268.0,2447.0,761.0,180.0,1499.0,505.0,799.0,45.0,26.0,6692.0,6718.0,16781.0,4765.0,77838.0,390256.0,19.0,643.0,2103.0,1079.0,1343734,837913,446239,108589,788903,28035.0
3450.0,92.0,118.0,380.0,116.0,47.0,374.0,67.0,9.0,1898.0,1907.0,3669.0,303.0,21228.0,290973.0,1.0,0.0,456.0,100.0,585448,393677,195437,35732,354280,10615.0
29970.0,13806.0,3267.0,1409.0,3157.0,820.0,2739.0,1011.0,75.0,9753.0,9828.0,27251.0,7541.0,127074.0,2743473.0,966.0,4388.0,7421.0,852.0,3804558,2725055,1324783,154267,2325508,70170.0
36195.0,1188.0,1158.0,688.0,6929.0,892.0,1717.0,46.0,46.0,20885.0,20931.0,41486.0,3469.0,92245.0,827365.0,0.0,2731.0,8866.0,1141.0,2428589,1578734,795095,289781,1343710,54897.0
45303.0,1417.0,3010.0,1521.0,8040.0,437.0,1680.0,943.0,70.0,32976.0,33046.0,10353.0,25266.0,114031.0,1763225.0,95.0,2021.0,2201.0,1063.0,6081322,4571409,2405288,148254,3527779,86106.0
14902.0,2.0,3075.0,352.0,1137.0,502.0,597.0,88.0,16.0,8109.0,8125.0,18413.0,0.0,63102.0,831321.0,4.0,1795.0,3880.0,666.0,1756268,1093626,586363,137136,1032768,34925.0
9976.0,129.0,757.0,126.0,492.0,172.0,452.0,45.0,502.0,3939.0,4441.0,3840.0,0.0,40005.0,313077.0,6.0,687.0,653.0,233.0,0,0,0,0,0,10579.0
782.0,42.0,3463.0,37.0,0.0,185.0,293.0,59.0,445.0,1612.0,2057.0,1558.0,0.0,11054.0,135908.0,5.0,63.0,1546.0,42.0,228291,140968,88038,30219,110034,7827.0
28182.0,1900.0,4810.0,3758.0,6164.0,1348.0,2537.0,1888.0,40.0,17789.0,17829.0,13721.0,6594.0,141669.0,2052975.0,895.0,3495.0,3735.0,1088.0,4165626,2893079,1360660,332812,2472152,76454.0
21712.0,139.0,5201.0,47.0,940.0,269.0,1182.0,445.0,137.0,9767.0,9904.0,7456.0,923.0,30786.0,331316.0,0.0,1808.0,3399.0,381.0,1705677,1170656,577327,165918,962432,28783.0
94170.0,3905.0,3962.0,3261.0,382.0,1727.0,1419.0,1099.0,397.0,49507.0,49904.0,69752.0,3469.0,563872.0,10977575.0,95.0,164.0,187.0,2256.0,7371270,5603362,2393751,268441,4709458,150500.0
13493.0,236.0,1102.0,296.0,353.0,489.0,789.0,54.0,30.0,7632.0,7662.0,20550.0,0.0,39541.0,554277.0,45.0,2272.0,1918.0,395.0,1526773,1018742,535458,127710,863723,35677.0
43343.0,1627.0,265.0,502.0,3669.0,1228.0,2364.0,325.0,87.0,6728.0,6815.0,17989.0,58.0,29813.0,561453.0,0.0,1055.0,1130.0,770.0,2117920,1592473,697717,153585,1267042,42504.0
46703.0,8600.0,3339.0,74.0,507.0,838.0,444.0,97.0,12.0,17870.0,17882.0,38923.0,0.0,46194.0,640504.0,258.0,620.0,3625.0,1546.0,3189920,1791725,1032281,234146,1925429,68583.0
21853.0,568.0,2085.0,705.0,1051.0,375.0,1094.0,233.0,9.0,4806.0,4815.0,10807.0,36.0,34889.0,556320.0,4.0,2691.0,3582.0,250.0,1570312,1145980,532607,100527,937298,30891.0
22606.0,2192.0,1496.0,416.0,932.0,770.0,1572.0,377.0,96.0,10175.0,10271.0,18680.0,12.0,65754.0,340976.0,290.0,76.0,941.0,439.0,2925021,1948838,1016145,158010,1751652,53149.0
22356.0,3039.0,574.0,211.0,31.0,1086.0,1420.0,552.0,16.0,12100.0,12116.0,17837.0,0.0,33455.0,203735.0,175.0,997.0,7404.0,658.0,2183603,1062845,559441,461010,1164246,57344.0
15500.0,833.0,55.0,1291.0,2125.0,433.0,541.0,39.0,81.0,8287.0,8368.0,15047.0,3401.0,67608.0,1147557.0,24.0,3671.0,2867.0,224.0,1397616,1046911,450433,82644,864845,36995.0
19748.0,262.0,1981.0,2023.0,1476.0,708.0,1919.0,1229.0,19.0,6544.0,6563.0,24518.0,1180.0,104169.0,1658773.0,20.0,398.0,749.0,513.0,2187521,1432405,731768,127893,1327882,38166.0
22574.0,1459.0,1293.0,2200.0,3163.0,806.0,1623.0,335.0,137.0,5913.0,6050.0,24122.0,0.0,105738.0,1674667.0,290.0,1715.0,5636.0,551.0,2774459,1892968,960061,177885,1637663,40812.0
