Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Maunathbhanjan,"69,986","20,010","52,518","67,010","53,732","9,123","1,623","7,938","6,096","1,842","29,119","22,325","29,119","37,057",50,0,"38,752",867,"2,329","30,207",914,27,20,3,"2,843","2,846","11,355",103,"25,187","131,772","18,329","61,509","61,976","59,767","58,448","63,426","62,364",1,"2,304","1,971",
Meerut,"94,700","59,470","60,715","82,151","75,041","30,116","1,652","11,927","6,647","5,280","28,064","21,596","28,510","40,437","2,245",0,"55,518",518,"4,977","46,260",850,894,694,174,"3,734","3,908","11,674",0,"44,380","486,289","39,325","88,733","99,619","91,443","88,706","88,624","83,330",127,"10,654","8,100",7
Mirzapur,"64,716","24,735","39,739","57,219","17,738","4,910","2,518","13,028","4,616","8,412","38,488","30,956","38,488","51,516","1,722",,"51,641",642,"2,767","47,857",913,751,590,18,"8,594","8,612","17,447",,"37,712","1,160,688","31,746","59,627","60,812","57,997","57,094","55,022","50,734",0,"2,529","3,392",
Moradabad,"95,322","64,406","66,006","70,715","144,998","9,789",554,"27,945","17,312","10,633","21,047","14,854","21,047","48,992","2,320",,"48,822",581,"6,267","40,093",868,"1,024",994,117,"2,855","2,972","10,348",,"81,740","998,219","40,769","66,427","73,733","69,651","68,623","68,861","84,393",35,"5,881","4,923",59
Muzaffarnagar,"70,309","40,076","68,585","65,009","25,153","30,598","2,257","19,095","13,377","5,718","28,122","24,338","30,540","49,635","2,906",0,"68,356","2,297","6,234","58,964",863,"3,504","2,095",55,"3,255","3,310","15,452",0,"84,755","1,065,808","58,644","68,279","71,708","69,218","70,261","71,622","78,595",532,"6,637","2,357",15
Pilibhit,"54,309","23,504","36,498","42,154","212,108","13,878",569,"20,463","2,805","17,658","17,845","11,264","17,845","38,308",364,,"39,467",577,"4,002","33,762",899,151,331,0,"3,020","3,020","9,090",,"60,869","484,368","23,326","42,520","44,545","42,024","41,058","46,410","46,092",1,"2,351","4,587",
Pratapgarh,"81,673","60,479","61,836","68,564","58,877","15,208",973,"10,703","7,405","3,298","41,974","31,880","41,974","52,677","1,317",,"57,479","1,062","10,029","48,340",891,723,"1,071",551,"5,269","5,820","14,235",773,"77,971","420,150","43,831","73,098","87,183","71,782","70,359","68,339","73,515",44,"5,378","5,942",
Rae Bareli,"70,337","49,668","52,429","63,759","87,241","12,526",517,"5,051","3,601","1,450","37,223","17,053","37,223","42,274",984,,"41,540",704,"9,542","32,183",886,555,"1,228",78,"2,502","2,580","10,318",,"51,951","925,754","38,867","64,090","65,208","62,528","62,010","59,167","79,723",30,"3,465","1,630",2
Rampur,"63,920","33,537","42,154","42,405","33,137","10,401",525,"16,708",13,"16,695","19,517","17,905","19,517","36,225",694,,"39,129",220,"3,033","32,331",946,169,0,3,"1,924","1,927","7,751",,"71,447","1,241,934","21,810","42,118","43,015","38,926","37,199","36,817","49,393",0,"1,029","1,476",2
Saharanpur,"107,456","36,178","80,170","96,500","66,456","9,491",782,"11,738","11,625",113,"55,904","55,904","63,339","75,077","3,076",101,"74,893","1,977","7,608","74,399",879,"1,619","1,126",111,"2,812","2,923","12,158","4,927","63,241","1,189,582","62,466","81,789","84,036","82,065","80,630","91,415","91,294",0,"7,166","5,598",
Sambhal,"44,264","41,403","29,617","44,663","42,967",337,183,"16,041","5,429","10,612","18,736","14,710","18,736","34,777",1,,"35,159",389,"13,598","27,821","1,051",108,5,,"1,236","1,236","6,075",,"20,074","216,410","20,516","36,209","48,378","42,624","41,448","40,896","45,854",2,157,32,
Sant Kabir Nagar,"48,230","19,907","28,291","39,498","28,702","6,437",332,"8,052","2,620","5,432","30,879","16,953","30,879","38,931",225,,"39,124",567,"3,355","34,965",871,307,84,16,"1,677","1,693","6,365",,"38,668","281,794","18,607","38,395","40,607","38,163","36,925","37,132","36,029",10,"1,836","1,222",15
Sant Ravidas Nagar,"41,449","16,574","23,329","32,674","28,242","4,711",119,"5,044","3,159","1,885","27,763","23,630","27,763","32,807",47,,"33,322",378,"2,033","29,469",894,91,0,9,"4,470","4,479","12,008",,"58,549","1,129,161","14,531","35,498","37,768","35,401","33,283","33,935","33,716",0,"2,713","4,469",12
Shahjahanpur,"78,969","40,228","59,306","67,786","25,472","5,874",569,"25,725","10,988","14,737","25,517","16,098","28,899","54,624",183,,"58,154",495,"6,601","47,043",839,155,3,20,"1,071","1,091","12,586","11,048","17,003","244,176","32,079","63,930","64,869","60,237","61,940","62,838","75,852",23,"1,717","5,423",14
Shamli,"25,791","17,695","20,716","22,038","11,926","2,072",300,"8,862","5,557","3,305","10,937","9,418","10,937","19,799",24,,"23,430",243,"1,082","21,232",807,840,,45,815,860,"2,767",,"7,678","38,860","9,292","25,146","28,334","26,075","25,991","25,537","18,996",1,"6,917","1,387",
Shrawasti,"33,179","17,156","14,786","17,250","32,036","2,048",403,116,70,46,"19,489","18,313","19,489","19,605",102,,"22,025",599,"4,132","20,878",845,0,186,5,485,490,"3,061",,"20,122","235,303","19,809","26,308","29,439","24,480","25,846","28,887","37,202",79,39,290,
Siddharth Nagar,"68,894","28,420","57,407","55,007","36,019","2,245",37,"26,828","4,473","22,355","29,140","21,704","29,140","55,968",306,,"62,198","1,002","3,812","46,766",902,165,52,1,"1,722","1,723",641,,"5,408","32,079","26,305","55,053","60,982","57,739","54,078","65,610","64,225",26,"2,026","1,673",9
