Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Kashi Ram Nagar,"56,084","34,031","38,519","20,394","66,915","26,098",850,"4,638",21,"4,617","4,386","4,386","26,943","31,581",28,806,"31,784",515,"2,760","25,638",946,422,24,10,942,952,"5,252",248,"10,828","171,910","25,018","40,303",911,408,251,53,"38,217",67,28,"1,191",51
Kaushambi,"60,231","29,195","52,859","18,603","54,781","35,410",531,"1,504",0,"1,504","2,862",151,"34,474","35,978",266,994,"35,586",547,"6,899","32,327",926,26,31,75,"3,313","3,388","9,887",122,"40,018","506,678","27,944","44,678",47,12,0,0,"44,659",2,"1,033","2,049",48
Kushinagar,"124,289","90,789","110,050","9,211","104,485","28,426",633,"5,767","1,424","4,343","17,235","4,787","68,614","74,381",292,"2,375","74,359",511,"4,924","69,025",927,278,131,16,"5,017","5,033","9,432",440,"19,721","231,491","42,984","103,449",171,119,324,"6,892","95,566",0,"1,650","1,188",47
Lakhimpur Kheri,"145,180","66,570","132,362","30,565","125,913","112,208","2,576","15,843","2,302","13,541","3,372",972,"72,120","87,963",813,"1,739","86,644","1,275","13,540","81,956",936,171,591,27,"6,531","6,558","21,900",4,"22,511","306,842","57,909","94,092",544,358,166,"2,637","105,327",197,"4,312","15,197",146
Lalitpur,"38,074","20,237","28,472","9,082","35,064","19,924",590,652,9,643,898,47,"25,815","26,467",814,673,"26,147",412,"3,851","25,120",932,95,173,28,"7,742","7,770","9,783",0,"26,900","255,591","25,843","29,668",32,50,53,89,"30,558",31,"2,293","9,417",181
Lucknow,"149,013","80,195","84,180","14,128","444,448","126,657","5,259",664,257,407,"5,091",,"60,097","60,761","15,868",872,"56,943","1,482","12,234","48,606",917,"1,749","1,818",671,"6,313","6,984","28,395",256,"146,701","1,513,755","64,066","111,065","2,125","1,710","1,294","24,692","137,465",480,"29,115","36,519",369
Maharajganj,"76,888","47,790","85,874","16,003","75,506","47,413",359,"9,925",322,"9,603","9,730","3,050","49,278","59,203",368,"2,076","58,964",462,"4,908","54,899",913,254,100,53,"6,265","6,318","12,720",0,"23,658","565,180","33,642","64,471",169,143,122,62,"78,496",355,"2,026","4,451",291
Mahoba,"22,952","11,064","21,641","2,084","23,641","7,007",296,44,20,24,0,0,"13,497","13,541",186,0,"13,469",97,"2,736","13,212",920,60,492,7,"3,209","3,216","3,838",0,"24,173","247,591","15,013","16,320",0,0,0,992,"30,430",0,"2,034","4,528",23
Mainpuri,"68,879","46,703","55,430","12,654","85,191","37,963",550,"4,828","3,571","1,257","4,708","2,666","26,596","31,424",58,"1,399","31,199",245,"2,845","28,670",939,28,449,11,"1,508","1,519","25,134",82,"27,650","727,349","30,717","58,853",200,55,73,"1,096","56,091",0,568,"4,835",28
Mathura,"71,072","36,223","48,355","27,428","71,929","36,662","3,019","8,225",228,"7,997","15,621",18,"41,284","49,509",610,58,"49,697",205,"2,918","32,626",940,69,260,356,"7,581","7,937","11,680",492,"53,844","844,497","32,399","72,717",830,584,475,"2,623","72,534",45,"2,263","1,488",132
Maunathbhanjan,"73,729","28,838","45,274","4,193","92,539","25,368",524,"3,278","2,888",390,"32,579","26,404","56,908","60,186",22,0,"57,765",167,"2,234","24,470",949,16,0,1,"1,856","1,857","6,218",0,"51,871","225,699","27,275","62,046",130,56,120,"42,842","57,779",1,760,"2,212",36
Meerut,"193,798","48,469","65,125","25,256","122,553","65,845","1,076","7,607",331,"7,276","61,854",0,"85,669","93,276","3,516","25,687","92,112",571,"8,894","87,282",953,947,"1,028",332,"5,006","5,338","14,967",279,"56,710","835,542","47,773","92,571",671,270,356,"2,404","85,422","2,743","5,433","5,138",433
Mirzapur,"81,894","50,839","62,413","25,478","61,476","40,272","1,077","11,735","2,035","9,700","1,997",0,"44,810","56,545","1,955",0,"56,328",753,"8,578","53,839",910,"1,036",130,70,"7,213","7,283","9,061",0,"18,404","723,085","37,659","71,969",44,10,0,804,"67,877",567,"4,438","3,463",334
Moradabad,"106,583","53,294","89,909","30,863","97,576","58,443",411,"26,492","6,131","20,361","27,606",11,"47,054","73,546","1,392",28,"73,097",472,"3,627","71,896",946,78,62,83,"1,980","2,063","12,838",7,"116,235","1,069,800","45,942","85,901",490,302,250,"2,808","93,691",0,"3,253","5,594",88
Muzaffarnagar,"81,854","45,623","74,505","18,668","75,902","54,096","1,633","6,713",176,"6,537","30,807","18,170","59,412","66,125","3,301","8,245","67,482",646,"5,715","65,317",916,"1,308",639,44,"3,251","3,295","11,327",0,"37,334","523,435","55,184","81,810",2,0,0,32,"76,270",36,"8,379","7,884",129
Pilibhit,"56,737","43,998","51,743","7,616","56,543","34,559",703,"8,138",8,"8,130","9,034",9,"31,134","39,272",429,"4,476","38,793",730,"4,421","34,414",922,678,164,5,"1,993","1,998","7,728",14,"49,368","321,084","33,854","51,292",437,321,225,21,"53,247",17,914,"4,214",72
Pratapgarh,"115,732","89,808","78,223","17,653","82,655","71,976",658,709,300,409,"3,909",0,"47,287","47,996","2,354",0,"48,770",458,"4,270","43,645",901,149,349,29,"4,736","4,765","7,388",,"106,822","469,445","46,928","78,142",0,9,2,0,"84,812",0,"7,699","2,537",249
Rae Bareli,"64,898","36,739","58,857","10,739","56,060","69,910","1,820","1,452",308,"1,144","4,389",,"49,341","50,793","2,715","2,628","50,694","1,106","9,199","43,984",936,246,"1,429",49,"4,720","4,769","9,450",,"79,678","681,793","45,510","53,374",31,6,12,"2,568","55,724",70,"4,852","4,732",281
Rampur,"73,617","48,995","62,410","23,981","64,541","60,313","1,442","11,210",0,"11,210","29,500","10,330","48,737","59,947",528,"12,994","59,783",404,"7,152","51,724",982,224,24,9,"1,499","1,508","7,661",10,"38,731","437,670","30,198","58,899","1,423","1,107",590,386,"64,050",0,567,529,173
Saharanpur,"118,809","81,866","118,862","38,013","106,531","97,463","2,164","7,809",125,"7,684","61,151","11,768","96,749","104,558","3,537","4,405","104,474",690,"6,557","100,252",938,443,821,79,"2,392","2,471","13,758",707,"27,951","428,424","101,189","106,218",81,32,417,"1,967","107,686",60,"6,949","9,958",257
Sambhal,"79,073","48,230","50,971","20,360","59,870","34,868",937,"22,231",0,"22,231","13,171","1,692","40,472","62,703",1,"1,590","61,989",871,"4,397","50,135",932,0,62,5,210,215,"12,678",0,"29,739","533,799","33,477","56,006","1,375",844,723,"2,648","62,453",22,6,"5,116",2
Sant Kabir Nagar,"58,146","31,920","53,979","6,911","53,844","31,111",458,"4,721",74,"4,647","2,984",36,"32,830","37,551",274,975,"37,456",325,"3,451","33,579",955,715,214,21,"1,947","1,968","7,622",16,"71,716","398,542","21,699","50,864",9,10,2,164,"46,598",30,"1,303","1,708",107
Sant Ravidas Nagar,"56,698","36,339","44,844","11,359","55,264","13,906",95,263,175,88,"4,579","3,018","26,661","26,924",113,723,"26,893",123,"2,610","25,949",930,19,78,38,"4,053","4,091","8,255",150,"10,322","359,579","20,873","41,203",518,99,128,350,"39,571",2,963,"1,273",67
Shahjahanpur,"101,149","64,589","95,795","28,816","73,910","76,407","1,435","21,595",171,"21,424","8,279","8,221","47,891","69,486",935,0,"69,682",988,"7,128","66,295",925,"1,049",120,46,"3,407","3,453","18,349",7,"43,715","569,720","49,591","78,271",285,223,218,"5,231","82,622",14,"1,443",776,281
Shamli,"42,577","26,966","45,130","14,665","38,556","25,894","3,121","3,101",0,"3,101","4,148",0,"20,948","24,049",44,"1,128","23,806",307,"2,546","23,582",895,54,0,12,576,588,"9,269",0,"41,603","284,847","28,041","39,425",140,99,76,0,"42,521",150,187,211,40
Shrawasti,"53,734","41,429","47,008","13,272","34,133","37,158","3,979","4,347",746,"3,601",,,"30,471","34,818",312,,"34,373",880,"5,139","33,530",926,348,26,21,"1,150","1,171","8,098",,"16,697","81,340","23,670","42,580","1,029",678,644,"10,724","37,841",0,919,173,519
Siddharth Nagar,"94,646","66,419","79,116","17,480","72,375","27,283","1,835","21,670","1,871","19,799","4,702","1,145","43,361","65,031",452,253,"64,593",616,"6,645","63,285",931,337,17,45,"2,367","2,412","10,448",15,"15,617","286,236","48,568","76,503",864,507,406,"4,120","68,572",23,"1,733","1,352",56
Sitapur,"181,806","120,916","144,492","31,271","149,523","85,777","3,175","17,485",324,"17,161",937,0,"84,620","102,105","1,447",344,"99,706","1,619","12,968","97,013",896,775,"1,882",42,"9,330","9,372","21,192",0,"60,971","658,686","86,250","126,336","2,161","1,472","1,278","10,055","137,403",42,"3,959","7,866",514
Sonbhadra,"56,627","41,646","52,791","17,609","52,812","25,825","1,359","9,318","2,300","7,018","4,321","2,257","32,077","41,395",196,"1,023","41,157",517,"4,375","39,381",943,"1,232",56,60,"7,058","7,118","6,952",107,"19,208","136,541","23,614","45,470",189,126,110,"1,121","47,221","3,130","1,017","1,739",401
